,team,season,power_rating
706,UAB,2012,-16.7
707,Colorado State,2012,-16.8
708,Florida Atlantic,2012,-18.2
709,Miami (OH),2012,-18.6
710,UNLV,2012,-18.7
711,Army,2012,-19.4
712,UTSA,2012,-20.0
713,Southern Miss,2012,-20.9
714,Colorado,2012,-21.8
715,Eastern Michigan,2012,-22.3
716,Akron,2012,-23.1
717,Hawai'i,2012,-23.4
718,Tulane,2012,-23.4
719,South Alabama,2012,-23.7
720,Idaho,2012,-29.3
721,New Mexico State,2012,-34.4
722,Massachusetts,2012,-35.5
723,Florida State,2013,40.4
724,Alabama,2013,33.4
725,Oregon,2013,32.0
726,Baylor,2013,27.2
727,Ohio State,2013,26.4
728,Stanford,2013,24.7
729,LSU,2013,24.1
730,Auburn,2013,23.7
731,Oklahoma State,2013,22.6
732,Clemson,2013,22.4
733,Wisconsin,2013,22.0
734,Washington,2013,21.9
735,Arizona State,2013,21.7
736,Missouri,2013,21.7
737,UCLA,2013,20.7
738,Louisville,2013,20.6
739,Georgia,2013,20.3
740,Texas A&M,2013,20.1
741,South Carolina,2013,19.9
742,Kansas State,2013,18.7
743,Michigan State,2013,18.6
744,Oklahoma,2013,18.2
745,USC,2013,18.2
746,Arizona,2013,14.7
747,Ole Miss,2013,13.8
748,Iowa,2013,13.2
749,UCF,2013,13.0
750,Miami,2013,12.5
751,Oregon State,2013,12.3
752,Notre Dame,2013,11.7
753,Texas,2013,11.5
754,BYU,2013,11.2
755,Virginia Tech,2013,10.9
756,Texas Tech,2013,10.8
757,Mississippi State,2013,10.8
758,Florida,2013,10.4
759,Georgia Tech,2013,10.2
760,Michigan,2013,9.8
761,Utah,2013,9.7
762,TCU,2013,9.5
763,North Carolina,2013,9.3
764,Bowling Green,2013,8.5
765,Nebraska,2013,8.2
766,Boise State,2013,8.0
767,Vanderbilt,2013,7.3
768,Fresno State,2013,6.6
769,Utah State,2013,6.4
770,East Carolina,2013,6.1
771,Washington State,2013,5.8
772,Duke,2013,5.5
773,Pittsburgh,2013,5.5
774,Penn State,2013,5.0
775,Houston,2013,4.9
776,Marshall,2013,4.9
777,Northern Illinois,2013,4.5
778,Cincinnati,2013,4.2
779,Northwestern,2013,4.0
780,Tennessee,2013,3.1
781,Minnesota,2013,3.1
782,Indiana,2013,2.9
783,Boston College,2013,2.7
784,Maryland,2013,2.4
785,Ball State,2013,1.8
786,Toledo,2013,1.1
787,Navy,2013,-0.1
788,North Texas,2013,-0.1
789,Colorado State,2013,-0.6
790,West Virginia,2013,-1.1
791,Arkansas,2013,-1.6
792,Syracuse,2013,-1.6
793,Iowa State,2013,-2.9
794,Rice,2013,-3.2
795,Illinois,2013,-3.3
796,Wake Forest,2013,-4.6
797,NC State,2013,-4.8
798,Buffalo,2013,-5.3
799,Colorado,2013,-5.5
800,Western Kentucky,2013,-5.9
801,San Diego State,2013,-6.2
802,Kentucky,2013,-6.4
803,Virginia,2013,-6.5
804,San José State,2013,-6.5
805,Florida Atlantic,2013,-7.0
806,Memphis,2013,-7.0
807,UTSA,2013,-7.2
808,South Alabama,2013,-7.7
809,Rutgers,2013,-8.4
810,Tulane,2013,-8.6
811,Middle Tennessee,2013,-9.2
812,Louisiana,2013,-9.2
813,SMU,2013,-9.3
814,California,2013,-10.4
815,Temple,2013,-11.3
816,UNLV,2013,-11.3
817,Arkansas State,2013,-11.5
818,Kansas,2013,-11.8
819,Nevada,2013,-12.1
820,UConn,2013,-12.6
821,Ohio,2013,-13.6
822,South Florida,2013,-14.1
823,Hawai'i,2013,-14.2
824,Kent State,2013,-14.3
825,Tulsa,2013,-15.6
826,Troy,2013,-15.7
827,Wyoming,2013,-16.0
828,Akron,2013,-16.6
829,Purdue,2013,-18.4
830,Texas State,2013,-19.2
831,New Mexico,2013,-19.8
832,UL Monroe,2013,-19.9
833,Central Michigan,2013,-20.6
834,Army,2013,-20.8
835,Louisiana Tech,2013,-20.9
836,Air Force,2013,-23.6
837,UAB,2013,-25.4
838,Western Michigan,2013,-27.1
839,UTEP,2013,-30.2
840,Georgia State,2013,-30.5
841,Southern Miss,2013,-31.4
842,Massachusetts,2013,-32.7
843,New Mexico State,2013,-33.2
844,Idaho,2013,-33.3
845,Miami (OH),2013,-33.5
846,Florida International,2013,-37.6
847,Eastern Michigan,2013,-38.0
848,Alabama,2014,30.1
849,Oregon,2014,26.4
850,Ohio State,2014,25.4
851,Georgia,2014,24.9
852,TCU,2014,24.3
853,Auburn,2014,22.1
854,Baylor,2014,21.6
855,Michigan State,2014,21.1
856,Ole Miss,2014,20.4
857,Mississippi State,2014,20.2
858,Florida State,2014,19.5
859,LSU,2014,17.3
860,Wisconsin,2014,17.2
861,Stanford,2014,17.1
862,Oklahoma,2014,17.0
863,Kansas State,2014,16.7
864,Arkansas,2014,16.2
865,USC,2014,15.8
866,UCLA,2014,15.2
867,Clemson,2014,15.2
868,Missouri,2014,14.6
869,Georgia Tech,2014,14.2
870,Marshall,2014,13.8
871,Texas A&M,2014,13.5
872,Florida,2014,12.9
873,Nebraska,2014,12.9
874,Louisville,2014,12.5
875,Arizona State,2014,11.8
876,South Carolina,2014,11.8
877,Tennessee,2014,11.1
878,Miami,2014,10.6
879,West Virginia,2014,9.6
880,Arizona,2014,9.4
881,Notre Dame,2014,9.3
882,Boise State,2014,8.9
883,Utah,2014,8.4
884,Minnesota,2014,6.9
885,Washington,2014,6.7
886,Virginia Tech,2014,6.5
887,Pittsburgh,2014,6.5
888,Texas,2014,6.1
889,Duke,2014,5.8
890,Memphis,2014,5.4
891,Boston College,2014,5.2
892,BYU,2014,5.2
893,Penn State,2014,4.9
894,Oklahoma State,2014,4.3
895,Michigan,2014,4.1
896,Iowa,2014,4.0
897,Virginia,2014,4.0
898,East Carolina,2014,3.9
899,NC State,2014,3.8
900,Louisiana Tech,2014,3.7
901,Colorado State,2014,3.1
902,Kentucky,2014,3.0
903,Maryland,2014,2.7
904,Cincinnati,2014,2.5
905,UCF,2014,1.5
906,California,2014,1.3
907,Utah State,2014,1.1
908,Northwestern,2014,0.5
909,Oregon State,2014,0.5
910,Navy,2014,0.4
911,Texas Tech,2014,0.4
912,Houston,2014,-0.2
913,Rutgers,2014,-1.2
914,North Carolina,2014,-1.6
915,Toledo,2014,-1.8
916,Georgia Southern,2014,-2.3
917,Washington State,2014,-2.3
918,Air Force,2014,-2.8
919,Illinois,2014,-2.8
920,Indiana,2014,-3.0
921,Western Michigan,2014,-3.0
922,Syracuse,2014,-3.2
923,Western Kentucky,2014,-3.2
924,San Diego State,2014,-3.2
925,Arkansas State,2014,-3.7
926,Northern Illinois,2014,-3.9
927,Louisiana,2014,-4.0
